tag,classification_id,name,category_id,admin_id,client_id,user_id,manufacturer_id,model_id,supplier_id,status_id,location_id,purchase_date,WARRANTY_MONTHS,SERIAL,NOTES,CUSTOMFIELDS,QRVALUE
rt-1,3,Honda Accord,17,2,1,2,19,Accord CD2 2.4 VTI AT,8,2,1,2012-09-27,12,B 1552 PQA,,,
rt-2,3,Toyota Camry G,17,2,1,2,20,New Camry 2.4 G AT,8,2,1,2011-06-07,12,B1400 PQA,,,
rt-3,3,HONDA CITY E CVT (VIN 2015),17,2,1,2,19,City GMG 1.5 E,8,2,1,2015-12-03,12,B 1153 PQB,,,
rt-4,3,Bus Merk Marcedes Benz,19,2,1,2,23,OF 917 4x2 5300 M/T,8,2,1,2019-04-23,12,DR 7412 V,,,
rt-5,3,Hino Jetbus,19,2,1,2,26,Jetbus 39 Seat Adiputro FC9JNKA-NNJB ,8,2,1,2021-06-30,12,DR 7416 V,,,
rt-6,3,Suzuki APV SGX 2017 Luxury R17,17,2,1,2,22,APV SDX MT GC415V ,8,2,1,2017-07-14,12,DR 1384 J,,,
rt-7,3,Toyota Hiace,18,2,1,2,20,HIACE COMMUTER MT,8,2,1,2016-08-04,12,DK 9214 FC /DK 7125F,,,
rt-8,3,Toyota All New Kijang Inova,17,2,1,2,20,INNOVA 2.0 G M/T,8,2,1,2016-08-24,12,DK 828 F / DK 1957 F,,,
rt-9,3,Toyota Kijang Innova 2.0 G M/T bensin VI,17,2,1,2,20,INNOVA 2.0 G M/T,8,2,1,2017-07-07,12,DR 1382 J,,,
rt-10,3,Toyota Kijang Innova V M/T Bensin Vin 20,17,2,1,2,20,INNOVA 2.0 V M/T,8,2,1,2017-07-07,12,DR 1383 J,,,
rt-11,3,Toyota Fortuner 2.7 SRZ 4X2 A/T,17,2,1,2,20,FORTUNER 2.7 SRZ 4X2 A/T,8,2,1,2017-12-11,12,DR 1427 J,,,
rt-12,3,Toyota RUSH 1.5 G M/T,17,2,1,2,20,RUSH 1.5 G M/T (F800RE-GMMFJ),8,2,1,2019-05-28,12,DR 1262 V,,,
rt-13,3,Mitsubishi 1.5L EXCEED-K (4X2) M/T,17,2,1,2,21,XPANDER 1.5L EXCEED-K (4X2) M/T,8,2,1,2019-06-11,12,DR 1265 V,,,
rt-14,3,Mitsubishi Xpander Cross 1.5L 4X2 M/T,17,2,1,2,21,Xpander Cross 1.5L 4X2 M/T,8,2,1,2021-05-20,12,DR 1281 V,,,
rt-15,3,Toyota Hiace Premio Tahun 2021 Warna Putih,18,2,1,2,20,HIACE Premio 2.8 M/T (GDH322R-EDFPY),8,2,1,2021-06-30,12,DR 7415 V,,,
rt-16,3,Toyota Kijang Krista,17,2,1,2,20,Kijang Krista,8,2,1,2003-10-30,12,B 2535 EQ,,,
rt-17,3,Suzuki APV Pick Up PS 2017,17,2,1,2,22,APV Pick Up PS 2017 GC415T (4X2) M/T,8,2,1,2017-07-14,12,DR 8191,,,
rt-18,3,Mobil Box Alumunium Suzuki Vin 2021,17,2,1,2,22,Box AEV415P CX Type 2 (4x2) M/T,8,2,1,2021-04-05,12,DR 8108 V,,,
rt-19,3,Honda Vario 125 CBS MMC 2017,16,2,1,2,20,Vario 125 CBS MMC 2017 E1F02N11M2 A/T,8,2,1,2017-07-24,12,DR 3788 J,,,
rt-20,3,Honda Vario 125 CBS MMC 2017,16,2,1,2,20,Vario 125 CBS MMC 2017 E1F02N11M2 A/T,8,2,1,2017-07-24,12,DR 3789 J,,,
rt-21,3,Honda Vario 150 Th 2021,16,2,1,2,20,Vario 150 Th 2021 X1H02N35M1 A/T,8,2,1,2021-10-14,12,DR 5836 V,,,
rt-22,3,Honda Vario 150 Th 2021,16,2,1,2,20,Vario 150 Th 2021 X1H02N35M1 A/T,8,2,1,2021-10-14,12,DR 5835 V,,,
rt-23,3,Honda Vario 150 Th 2021,16,2,1,2,20,Vario 150 Th 2021 X1H02N35M1 A/T,8,2,1,2021-10-14,12,DR 5834 V,,,
rt-24,3,Honda Vario 150 Th 2021,16,2,1,2,20,Vario 150 Th 2021 X1H02N35M1 A/T,8,2,1,2021-10-14,12,DR 5838 V,,,
rt-25,3,Honda Vario 150 Th 2021,16,2,1,2,20,Vario 150 Th 2021 X1H02N35M1 A/T,8,2,1,2021-10-14,12,DR 5837 V,,,
rt-26,3,Honda New PCX ABS Th 2021,16,2,1,2,20,New PCX ABS Th 2021 V1J02Q50L1 A/T,8,2,1,2021-10-14,12,DR 5839 V,,,
rt-27,3,Honda New PCX ABS Th 2021,16,2,1,2,20,New PCX ABS Th 2021 V1J02Q50L1 A/T,8,2,1,2021-10-14,12,DR 5840 V,,,
rt-28,3,Honda Supra X 125 CW / HIBAH STED,16,2,1,2,20,SUPRA X 125 CW AFX12U21C08 M/T,8,2,1,2023-12-29,12,DR 5437 SZ,,,
rt-29,3,"Ambulan Daihatsu Luxio 1.5X MT,Off The R",16,2,1,2,24,Luxio 1.5X MT S402RG-ZMXFJJ,8,2,1,2021-12-07,12,DR 9167 V,,,
rt-30,3,Isuzu Food Truck,17,2,1,2,25,NKR55CO E2-1 LWB,8,2,1,2017-12-21,12,DR 7155,,,
rt-31,3,Mobil Golf 6 Seats,17,2,1,2,27,Model LQY065,8,2,1,2019-05-31,12,rt-31,,,
rt-32,3,Mobil Golf 6 Seats,17,2,1,2,27,Model LQY065,8,2,1,2019-06-20,12,rt-32,,,
rt-33,3,A.C Cassette 5 PK Merk Daikin/ R.Rapat Manajemen D,1,2,1,2,1,A.C. Sentral,1,2,1,2020-08-04,12,rt-33,,,
rt-34,4,Daikin,21,2,1,2,1,A.C. Split,1,2,1,2016-12-05,12,rt-34,,,
rt-35,4,Daikin,21,2,1,2,1,A.C. Split,1,2,1,2016-12-05,12,rt-35,,,
rt-36,4,Daikin,21,2,1,2,1,A.C. Split,1,2,1,2016-12-05,12,rt-36,,,
rt-37,4,Daikin,21,2,1,2,1,A.C. Split,1,2,1,2016-12-05,12,rt-37,,,
rt-38,4,Daikin,21,2,1,2,1,A.C. Split,1,2,1,2016-12-05,12,rt-38,,,
