tag,classification_id,name,category_id,admin_id,client_id,user_id,manufacturer_id,model_id,supplier_id,status_id,location_id,purchase_date,WARRANTY_MONTHS,SERIAL,NOTES,CUSTOMFIELDS,QRVALUE
tik-1,2,HP Probooks 440 G2,3,1,1,3,4,Probooks 440 G2,1,2,1,2016-12-23,12,tik-1,,,
tik-2,2,HP Probooks 440 G2,3,1,1,3,4,Probooks 440 G2,1,2,1,2016-12-23,12,tik-2,,,
tik-3,2,HP Probooks 440 G2,3,1,1,3,4,Probooks 440 G2,1,2,1,2016-12-23,12,tik-3,,,
tik-4,2,HP Probooks 440 G2,3,1,1,3,4,Probooks 440 G2,1,2,1,2016-12-23,12,tik-4,,,
tik-5,2,"DELL Inspiron I3(5378)(i7,8GB,256GB,13,3inch,Win10",3,1,1,3,2,Inspiron 13,1,2,1,2017-10-23,12,tik-5,,,
tik-6,2,"HP Probook 430 G3(i7,8GB,1TB,Win10 Pro,13""",3,1,1,3,4,Probook 430 G3,1,2,1,2019-03-26,12,tik-6,,,
tik-7,2,"HP Probook 430 G3(i7,8GB,1TB,Win10 Pro,13""",3,1,1,3,4,Probook 430 G3,1,2,1,2019-03-26,12,tik-7,,,
tik-8,2,HP Spectre Folio Convertible 13/ Manaj,3,1,1,3,4,Spectre Folio Convertible 13,1,2,1,2019-03-26,12,tik-8,,,
tik-9,2,HP Spectre Folio Convertible 13/ Manaj,3,1,1,3,4,Spectre Folio Convertible 13,1,2,1,2019-03-26,12,tik-9,,,
tik-10,2,"HP Pavillion Gaming 15CX 0161TX,i7,8GB",3,1,1,3,4,Pavillion Gaming 15CX 0161TX,1,2,1,2019-03-26,12,tik-10,,,
tik-11,2,"MSI GT75 8SF(i7,16GB,1TB,17,3"",Win10,N",3,1,1,3,28,GT75 8SF,1,2,1,2019-03-29,12,tik-11,,,
tik-12,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-12,,,
tik-13,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-13,,,
tik-14,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-14,,,
tik-15,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-15,,,
tik-16,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-16,,,
tik-17,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-17,,,
tik-18,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-18,,,
tik-19,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-19,,,
tik-20,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-20,,,
tik-21,2,"HP Probook 430 G6 (I7,8GB,1TB,WIN10,13.3IN)",3,1,1,3,4,Probook 430 G6,1,2,1,2019-11-21,12,tik-21,,,
